81867	46.30400
81916	51.70600
81953	59.76200
81978	53.77880
81983	59.45200
81985	52.27000
81990	52.37400
82001	53.36200
82004	48.78800
82005	53.16000
82012	56.55860
82013	53.67600
82196	62.1220
82218	63.1282
82257	53.1880
82258	53.1238
82259	53.5400
82281	59.6140
82296	58.3240
82311	57.4142
82312	54.2448
82313	52.8700
82314	56.8620
82390	54.8440
82393	56.6980
82409	54.3880
82460	56.9040
82495	59.6540
82499	59.2680
82500	53.5380
82502	62.2760
82504	65.2480
82551	58.4060
82553	56.6480
82554	58.0360
82555	58.0900
82556	57.4160
82569	61.8540
82577	56.8420
82578	58.5100
82589	55.6740
82590	58.5800
82629	62.4560
82652	59.8800
82654	58.1600
82657	60.2240
82669	64.8850
82674	57.0620
82687	49.6700
82698	46.6700
82752	59.4720
82753	59.6260
82754	59.3900
82756	56.7080
82758	57.7640
82775	64.7517
82780	57.0220
82797	43.8940
82807	59.1200
82810	58.8660
82811	58.9120
82813	58.4240
82817	58.1560
82819	58.1740
82820	58.9240
82821	59.8320
82822	53.3400
82851	58.0800
82852	58.0120
82853	58.2260
82858	53.0660
82861	56.1000
82862	58.2940
82867	55.7340
82893	57.0200
82896	57.5560
82905	58.1580
82932	63.3652
82938	60.7618
82941	61.4794
82955	56.9880
83137	58.8486
83143	51.2310
83144	51.4808
83146	51.4894
83153	55.7960
83154	53.8034
83165	56.1566
83168	59.5540
83169	57.3586
83171	56.4334
83177	57.7000
83179	57.4980
83180	55.8464
83183	56.4650
83185	56.6292
83186	55.7482
83187	57.8760
83188	57.6842
83191	63.7792
83209	58.7518
83210	60.1732
83216	57.6374
83227	57.5120
83230	57.4646
83231	56.9784
83233	54.3042
83238	59.2248
83240	56.5028
83241	57.1664
83244	56.7428
83245	57.1064
83250	57.7978
83276	52.8934
83295	56.0350
83305	55.5682
83308	56.5086
83312	44.8088
83313	50.3616
83314	48.6628
83317	48.3456
83330	58.7160
83331	58.8591
83333	60.9730
83335	57.3838
83340	54.7304
83341	57.4046
83346	56.9386
83352	56.5938
83356	60.9688
83359	58.4238
83360	59.3742
83362	58.3124
83363	56.9138
83366	58.2920
83367	58.1794
83370	59.3804
83400	52.2774
83403	57.6890
83404	54.6010
83411	43.7860
83413	46.2000
83417	47.6192
83423	45.5970
83432	59.4822
83433	58.8138
83434	56.8432
83435	59.9280
83436	57.6040
83438	57.9058
83444	52.6466
83480	53.6152
83497	56.6692
83504	54.9146
83514	43.4698
83518	48.7310
83519	43.8003
83533	48.7734
83544	58.0122
83545	53.9698
83557	49.9122
83564	46.5076
83566	49.7438
83568	47.5344
83570	47.8712
83571	52.8374
83572	59.3380
83575	63.7992
83601	67.3056
83611	44.9130
83615	44.9916
83618	52.3500
83619	56.5379
83620	53.5300
83633	54.7178
83635	58.2726
83681	51.6278
83698	45.1830
83730	56.3352
